Nombre,Enlace,Fecha,Generos,Precio,Desarrollador
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,"Aug 21, 2012","Action, Free To Play",0,Valve
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1,"Nov 4, 2020","Action, Adventure, Free To Play",0,Respawn
Marvel Rivals,https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_230_150_1,"Dec 5, 2024","Action, Free To Play",0,NetEase Games
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1,"","",0,""
Tom Clancy's Rainbow Six Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1,"","",0,""
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1,"Jul 9, 2013","Action, Strategy, Free To Play",0,Valve
Wuthering Waves,https://store.steampowered.com/app/3513350/Wuthering_Waves/?snr=1_7_7_230_150_1,"Apr 28, 2025","Action, Adventure, RPG, Free To Play",0,KURO GAMES
Battlefield™ 6,https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_230_150_1,"","",0,""
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1,"Aug 15, 2013","Action, Massively Multiplayer, Simulation, Free To Play",0,Gaijin Entertainment
Where Winds Meet,https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_230_150_1,"Nov 14, 2025","Action, Adventure, RPG, Free To Play",0,Everstone Studio
The Sims™ 4,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_230_150_1,"Sep 2, 2014","Adventure, Casual, Simulation, Free To Play",0,Maxis
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_230_150_1,"Jan 18, 2022","Simulation, Strategy, Free To Play",0,KONAMI
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_230_150_1,"","",0,""
VRChat,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_230_150_1,"Feb 1, 2017","Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",0,VRChat Inc.
Magic: The Gathering Arena,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena/?snr=1_7_7_230_150_1,"May 23, 2023","Strategy, Free To Play",0,Wizards of the Coast
Destiny 2,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1,"Oct 1, 2019","Action, Adventure, Free To Play",0,Bungie
Overwatch®,https://store.steampowered.com/app/2357570/Overwatch/?snr=1_7_7_230_150_1,"Aug 10, 2023","Action, Free To Play",0,"Blizzard Entertainment, Inc."
Limbus Company,https://store.steampowered.com/app/1973530/Limbus_Company/?snr=1_7_7_230_150_1,"Feb 26, 2023",Free To Play,0,ProjectMoon
THE FINALS,https://store.steampowered.com/app/2073850/THE_FINALS/?snr=1_7_7_230_150_1,"Dec 7, 2023","Action, Free To Play",0,Embark Studios
Arena Breakout: Infinite,https://store.steampowered.com/app/2073620/Arena_Breakout_Infinite/?snr=1_7_7_230_150_1,"Sep 15, 2025","Action, Adventure, Massively Multiplayer, RPG, Strategy, Free To Play",0,Morefun Studios
