Nombre,Enlace,Fecha,Generos,Precio Original,Precio Final,Desarrollador
Big Walk,https://store.steampowered.com/app/1478500/Big_Walk/?snr=1_7_7_2300_150_1,"Aug 4, 2026",Adventure,$19.99,$14.99,House House
Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_2300_150_1,"","",$59.99,$17.99,""
Marvel's Spider-Man 2,https://store.steampowered.com/app/2651280/Marvels_SpiderMan_2/?snr=1_7_7_2300_150_1,"Jan 30, 2025","Action, Adventure",$59.99,$40.19,"Insomniac Games, Nixxes Software"
Marvel’s Spider-Man Remastered,https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_2300_150_1,"Aug 12, 2022","Action, Adventure, Casual",$59.99,$23.99,"Insomniac Games, Nixxes Software"
Mistfall Hunter,https://store.steampowered.com/app/3282300/Mistfall_Hunter/?snr=1_7_7_2300_150_1,"Jul 29, 2026","Action, Adventure",$24.99,$22.49,Bellring Games
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_2300_150_1,"Dec 13, 2023","Action, Adventure, Indie",$49.99,$24.99,VOID Interactive
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_2300_150_1,"","",$59.99,$41.99,""
Assassin's Creed® Odyssey,https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_7_7_2300_150_1,"","",$59.99,$11.99,""
Cyberpunk 2077: Phantom Liberty,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty/?snr=1_7_7_2300_150_1,"","",$29.99,$17.99,""
Black Desert,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_2300_150_1,"May 24, 2017","Action, Adventure, Massively Multiplayer, RPG, Strategy",$9.99,$0.99,Pearl Abyss
Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_2300_150_1,"Feb 8, 2018","Action, Adventure, Indie, Massively Multiplayer, RPG",$39.99,$19.99,Facepunch Studios
Marvel’s Spider-Man: Miles Morales,https://store.steampowered.com/app/1817190/Marvels_SpiderMan_Miles_Morales/?snr=1_7_7_2300_150_1,"Nov 18, 2022","Action, Adventure",$49.99,$19.99,"Insomniac Games, Nixxes Software"
FINAL FANTASY VII REMAKE INTERGRADE,https://store.steampowered.com/app/1462040/FINAL_FANTASY_VII_REMAKE_INTERGRADE/?snr=1_7_7_2300_150_1,"Jun 17, 2022","Action, Adventure, RPG",$39.99,$13.99,Square Enix
Fallout 76,https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_2300_150_1,"","",$39.99,$9.99,""
Machine Party,https://store.steampowered.com/app/4108000/Machine_Party/?snr=1_7_7_2300_150_1,"Jul 30, 2026","Action, Indie",$7.99,$6.79,"Mike Klubnika, GDeavid"
PEAK,https://store.steampowered.com/app/3527290/PEAK/?snr=1_7_7_2300_150_1,"Jun 16, 2025","Action, Adventure, Indie",$7.99,$3.99,Team PEAK
Disney Dreamlight Valley,https://store.steampowered.com/app/1401590/Disney_Dreamlight_Valley/?snr=1_7_7_2300_150_1,"Dec 5, 2023","Action, Adventure, Casual, RPG, Simulation",$39.99,$27.99,Gameloft
Avowed,https://store.steampowered.com/app/2457220/Avowed/?snr=1_7_7_2300_150_1,"Feb 18, 2025",RPG,$49.99,$29.99,Obsidian Entertainment
Witchfire,https://store.steampowered.com/app/3156770/Witchfire/?snr=1_7_7_2300_150_1,"Sep 23, 2024","Action, Early Access",$39.99,$31.99,The Astronauts
Sephiria,https://store.steampowered.com/app/2436940/Sephiria/?snr=1_7_7_2300_150_1,"Jul 31, 2026","Action, Adventure, Indie, RPG",$14.99,$8.99,TEAM HORAY
